threshold,precision,recall,f1,tp,fp,tn,fn
0.3851102204408818,0.25365853658536586,0.9285714285714286,0.39846743295019155,52,153,2977,4
0.3860921843687375,0.26,0.9285714285714286,0.40625,52,148,2982,4
0.38707414829659326,0.26,0.9285714285714286,0.40625,52,148,2982,4
0.38805611222444897,0.26,0.9285714285714286,0.40625,52,148,2982,4
0.3890380761523047,0.26,0.9285714285714286,0.40625,52,148,2982,4
0.3900200400801604,0.25888324873096447,0.9107142857142857,0.4031620553359684,51,146,2984,5
0.3910020040080161,0.26288659793814434,0.9107142857142857,0.408,51,143,2987,5
0.3919839679358718,0.265625,0.9107142857142857,0.4112903225806452,51,141,2989,5
0.3929659318637275,0.265625,0.9107142857142857,0.4112903225806452,51,141,2989,5
0.39394789579158324,0.26842105263157895,0.9107142857142857,0.4146341463414634,51,139,2991,5
0.39492985971943895,0.2698412698412698,0.9107142857142857,0.4163265306122449,51,138,2992,5
0.39591182364729466,0.2727272727272727,0.9107142857142857,0.41975308641975306,51,136,2994,5
0.39689378757515037,0.2756756756756757,0.9107142857142857,0.42323651452282157,51,134,2996,5
0.3978757515030061,0.2786885245901639,0.9107142857142857,0.42677824267782427,51,132,2998,5
0.3988577154308618,0.281767955801105,0.9107142857142857,0.43037974683544306,51,130,3000,5
0.3998396793587175,0.28651685393258425,0.9107142857142857,0.4358974358974359,51,127,3003,5
0.4008216432865732,0.2914285714285714,0.9107142857142857,0.44155844155844154,51,124,3006,5
0.4018036072144289,0.29310344827586204,0.9107142857142857,0.4434782608695652,51,123,3007,5
0.40278557114228464,0.29651162790697677,0.9107142857142857,0.4473684210526316,51,121,3009,5
0.40376753507014035,0.3,0.9107142857142857,0.45132743362831856,51,119,3011,5
0.40474949899799606,0.30177514792899407,0.9107142857142857,0.4533333333333333,51,118,3012,5
0.40573146292585177,0.30357142857142855,0.9107142857142857,0.45535714285714285,51,117,3013,5
0.4067134268537075,0.30357142857142855,0.9107142857142857,0.45535714285714285,51,117,3013,5
0.4076953907815632,0.30538922155688625,0.9107142857142857,0.45739910313901344,51,116,3014,5
0.4086773547094189,0.3072289156626506,0.9107142857142857,0.4594594594594595,51,115,3015,5
0.4096593186372746,0.3128834355828221,0.9107142857142857,0.4657534246575342,51,112,3018,5
0.41064128256513033,0.32075471698113206,0.9107142857142857,0.4744186046511628,51,108,3022,5
0.41162324649298604,0.32075471698113206,0.9107142857142857,0.4744186046511628,51,108,3022,5
0.41260521042084175,0.3227848101265823,0.9107142857142857,0.4766355140186916,51,107,3023,5
0.41358717434869746,0.3227848101265823,0.9107142857142857,0.4766355140186916,51,107,3023,5
0.4145691382765532,0.3227848101265823,0.9107142857142857,0.4766355140186916,51,107,3023,5
0.4155511022044089,0.32051282051282054,0.8928571428571429,0.4716981132075472,50,106,3024,6
0.4165330661322646,0.3225806451612903,0.8928571428571429,0.47393364928909953,50,105,3025,6
0.4175150300601203,0.3246753246753247,0.8928571428571429,0.47619047619047616,50,104,3026,6
0.418496993987976,0.33112582781456956,0.8928571428571429,0.4830917874396135,50,101,3029,6
0.41947895791583173,0.33112582781456956,0.8928571428571429,0.4830917874396135,50,101,3029,6
0.42046092184368744,0.33112582781456956,0.8928571428571429,0.4830917874396135,50,101,3029,6
0.42144288577154315,0.33557046979865773,0.8928571428571429,0.4878048780487805,50,99,3031,6
0.42242484969939886,0.33557046979865773,0.8928571428571429,0.4878048780487805,50,99,3031,6
0.4234068136272546,0.3310810810810811,0.875,0.4803921568627451,49,99,3031,7
0.4243887775551103,0.3333333333333333,0.875,0.4827586206896552,49,98,3032,7
0.425370741482966,0.3333333333333333,0.875,0.4827586206896552,49,98,3032,7
0.4263527054108217,0.3333333333333333,0.875,0.4827586206896552,49,98,3032,7
0.4273346693386774,0.3333333333333333,0.875,0.4827586206896552,49,98,3032,7
0.42831663326653313,0.3356164383561644,0.875,0.48514851485148514,49,97,3033,7
0.42929859719438884,0.3402777777777778,0.875,0.49,49,95,3035,7
0.43028056112224455,0.3402777777777778,0.875,0.49,49,95,3035,7
0.43126252505010026,0.3402777777777778,0.875,0.49,49,95,3035,7
0.432244488977956,0.3380281690140845,0.8571428571428571,0.48484848484848486,48,94,3036,8
0.4332264529058117,0.3380281690140845,0.8571428571428571,0.48484848484848486,48,94,3036,8
0.4342084168336674,0.3380281690140845,0.8571428571428571,0.48484848484848486,48,94,3036,8
0.4351903807615231,0.3380281690140845,0.8571428571428571,0.48484848484848486,48,94,3036,8
0.4361723446893788,0.3404255319148936,0.8571428571428571,0.4873096446700508,48,93,3037,8
0.43715430861723453,0.3404255319148936,0.8571428571428571,0.4873096446700508,48,93,3037,8
0.43813627254509024,0.3404255319148936,0.8571428571428571,0.4873096446700508,48,93,3037,8
0.43911823647294596,0.3404255319148936,0.8571428571428571,0.4873096446700508,48,93,3037,8
0.44010020040080167,0.34285714285714286,0.8571428571428571,0.4897959183673469,48,92,3038,8
0.4410821643286574,0.34285714285714286,0.8571428571428571,0.4897959183673469,48,92,3038,8
0.4420641282565131,0.34285714285714286,0.8571428571428571,0.4897959183673469,48,92,3038,8
0.4430460921843688,0.34285714285714286,0.8571428571428571,0.4897959183673469,48,92,3038,8
0.4440280561122245,0.3381294964028777,0.8392857142857143,0.48205128205128206,47,92,3038,9
0.4450100200400802,0.3381294964028777,0.8392857142857143,0.48205128205128206,47,92,3038,9
0.44599198396793593,0.34057971014492755,0.8392857142857143,0.4845360824742268,47,91,3039,9
0.44697394789579165,0.33088235294117646,0.8035714285714286,0.46875,45,91,3039,11
0.44795591182364736,0.32592592592592595,0.7857142857142857,0.4607329842931937,44,91,3039,12
0.44893787575150307,0.32592592592592595,0.7857142857142857,0.4607329842931937,44,91,3039,12
0.4499198396793588,0.3233082706766917,0.7678571428571429,0.455026455026455,43,90,3040,13
0.4509018036072145,0.3233082706766917,0.7678571428571429,0.455026455026455,43,90,3040,13
0.4518837675350702,0.32575757575757575,0.7678571428571429,0.4574468085106383,43,89,3041,13
0.4528657314629259,0.3282442748091603,0.7678571428571429,0.45989304812834225,43,88,3042,13
0.4538476953907816,0.3333333333333333,0.7678571428571429,0.4648648648648649,43,86,3044,13
0.45482965931863734,0.3412698412698413,0.7678571428571429,0.4725274725274725,43,83,3047,13
0.45581162324649305,0.336,0.75,0.46408839779005523,42,83,3047,14
0.45679358717434876,0.3387096774193548,0.75,0.4666666666666667,42,82,3048,14
0.45777555110220447,0.3387096774193548,0.75,0.4666666666666667,42,82,3048,14
0.4587575150300602,0.3360655737704918,0.7321428571428571,0.4606741573033708,41,81,3049,15
0.4597394789579159,0.3360655737704918,0.7321428571428571,0.4606741573033708,41,81,3049,15
0.4607214428857716,0.3305785123966942,0.7142857142857143,0.4519774011299435,40,81,3049,16
0.4617034068136273,0.3333333333333333,0.7142857142857143,0.45454545454545453,40,80,3050,16
0.462685370741483,0.3305084745762712,0.6964285714285714,0.4482758620689655,39,79,3051,17
0.46366733466933874,0.3333333333333333,0.6964285714285714,0.4508670520231214,39,78,3052,17
